_time,battery_percent,battery_voltage,humidity,pressure_hpa,rssi,temperature_f,dewpoint_f,temp_change_1h,temp_change_3h,pressure_change_1h,pressure_change_3h,humidity_change_1h,humidity_change_3h,dewpoint_change_1h,dewpoint_change_3h
2026-08-25 23:46:00+00:00,85.5,4.05,24.6,971.1,-41.0,104.3,61.0443616188081,,,,,,,,
2026-08-25 23:47:00+00:00,81.75,4.02,24.6,971.1,-40.5,104.25,61.002486212097665,,,,,,,,
2026-08-25 23:48:00+00:00,78.0,3.99,24.6,971.1,-40.0,104.2,60.96061080538724,,,,,,,,
2026-08-25 23:49:00+00:00,84.0,4.04,24.7,971.2,-41.0,104.2,61.07510637751277,,,,,,,,
2026-08-25 23:50:00+00:00,85.0,4.05,24.7,971.2,-41.0,104.2,61.07510637751277,,,,,,,,
2026-08-25 23:51:00+00:00,85.4,4.05,24.7,971.2,-41.0,104.2,61.07510637751277,,,,,,,,
2026-08-25 23:52:00+00:00,83.6,4.04,24.7,971.2,-42.0,104.2,61.07510637751277,,,,,,,,
2026-08-25 23:53:00+00:00,83.4,4.03,24.7,971.2,-42.0,104.2,61.07510637751277,,,,,,,,
2026-08-25 23:54:00+00:00,86.2,4.06,24.7,971.2,-40.0,104.1,60.9913116564144,,,,,,,,
2026-08-25 23:55:00+00:00,85.65,4.055,24.75,971.25,-40.5,104.1,61.048335587980844,,,,,,,,
2026-08-25 23:56:00+00:00,85.1,4.05,24.8,971.3,-41.0,104.1,61.105359519547285,,,,,,,,
2026-08-25 23:57:00+00:00,83.2,4.03,24.8,971.2,-42.0,104.1,61.105359519547285,,,,,,,,
2026-08-25 23:58:00+00:00,80.9,4.01,24.8,971.2,-42.0,104.0,61.02152103868802,,,,,,,,
2026-08-25 23:59:00+00:00,84.2,4.04,24.8,971.2,-41.0,104.0,61.02152103868802,,,,,,,,
2026-08-26 00:00:00+00:00,87.5,4.07,24.9,971.2,-41.0,104.0,61.1351245585814,-0.4000000000000057,,0.20000000000004547,,0.5,,0.23740411504839898,
2026-08-26 00:01:00+00:00,83.0,4.03,24.9,971.2,-41.0,103.9,61.05124246483339,-0.3999999999999915,,0.20000000000004547,,0.3999999999999986,,0.12182753233214072,
2026-08-26 00:02:00+00:00,83.4,4.03,25.0,971.2,-43.0,103.9,61.16440496841889,-0.3999999999999915,,0.20000000000004547,,0.5,,0.23499003591764023,
2026-08-26 00:03:00+00:00,82.8,4.03,24.9,971.3,-41.0,103.9,61.05124246483339,-0.3999999999999915,,0.2999999999999545,,0.3999999999999986,,0.12182753233214072,
2026-08-26 00:04:00+00:00,83.7,4.04,25.0,971.3,-41.0,103.8,61.08047940762155,-0.5,,0.2999999999999545,,0.5,,0.1510644751203003,
2026-08-26 00:05:00+00:00,83.3,4.03,25.0,971.3,-44.0,103.8,61.08047940762155,-0.5,,0.39999999999997726,,0.5,,0.1510644751203003,
2026-08-26 00:06:00+00:00,83.5,4.04,25.0,971.3,-42.0,103.7,60.996551082059526,-0.5999999999999943,,0.2999999999999545,,0.5,,0.06713614955827296,
2026-08-26 00:07:00+00:00,82.1,4.02,25.0,971.3,-41.0,103.7,60.996551082059526,-0.5999999999999943,,0.2999999999999545,,0.5,,0.06713614955827296,
2026-08-26 00:08:00+00:00,87.8,4.08,25.0,971.4,-42.0,103.7,60.996551082059526,-0.5999999999999943,,0.5,,0.5,,0.06713614955827296,
2026-08-26 00:09:00+00:00,83.1,4.03,25.0,971.3,-40.0,103.7,60.996551082059526,-0.5999999999999943,,0.39999999999997726,,0.5,,0.06713614955827296,
2026-08-26 00:10:00+00:00,83.3,4.03,25.1,971.3,-41.0,103.6,61.025263658616474,-0.7000000000000028,,0.2999999999999545,,0.6000000000000014,,0.09584872611522144,
2026-08-26 00:11:00+00:00,82.8,4.03,25.1,971.3,-41.0,103.6,61.025263658616474,-0.7000000000000028,,0.25,,0.6000000000000014,,0.09584872611522144,
2026-08-26 00:12:00+00:00,83.6,4.04,25.1,971.3,-41.0,103.5,60.941289257576365,-0.7999999999999972,,0.1999999999999318,,0.6000000000000014,,0.011874325075112324,
2026-08-26 00:13:00+00:00,84.3,4.04,25.2,971.4,-41.0,103.5,61.0534987240333,-0.7999999999999972,,0.2999999999999545,,0.6999999999999993,,0.12408379153204407,
2026-08-26 00:14:00+00:00,87.7,4.08,25.3,971.3,-41.0,103.5,61.165317478540075,-0.7999999999999972,,0.1999999999999318,,0.8000000000000007,,0.23590254603882244,
2026-08-26 00:15:00+00:00,85.4,4.05,25.3,971.3,-41.0,103.4,61.081259634153696,-0.8999999999999915,,0.1999999999999318,,0.8000000000000007,,0.15184470165244335,
2026-08-26 00:16:00+00:00,85.05000000000001,4.05,25.3,971.3,-40.5,103.4,61.081259634153696,-0.8999999999999915,,0.1999999999999318,,0.9000000000000021,,0.2672045406988701,
2026-08-26 00:17:00+00:00,84.7,4.05,25.3,971.3,-40.0,103.4,61.081259634153696,-0.8999999999999915,,0.1999999999999318,,0.9000000000000021,,0.2672045406988701,
2026-08-26 00:18:00+00:00,84.1,4.04,25.3,971.4,-40.0,103.4,61.081259634153696,-0.8999999999999915,,0.35000000000002274,,0.9000000000000021,,0.2672045406988701,
2026-08-26 00:19:00+00:00,86.3,4.06,25.3,971.3,-41.0,103.3,60.99719904230994,-1.0,,0.2999999999999545,,0.9000000000000021,,0.1831439488551112,
2026-08-26 00:20:00+00:00,80.9,4.01,25.3,971.3,-42.0,103.3,60.99719904230994,-1.0,,0.2999999999999545,,0.9000000000000021,,0.1831439488551112,
2026-08-26 00:21:00+00:00,87.0,4.07,25.3,971.3,-41.0,103.2,60.9131357028741,-1.0999999999999943,,0.2999999999999545,,0.9000000000000021,,0.09908060941927488,
2026-08-26 00:22:00+00:00,85.4,4.05,25.3,971.3,-42.0,103.2,60.9131357028741,-1.0999999999999943,,0.2999999999999545,,0.9000000000000021,,0.09908060941927488,
2026-08-26 00:23:00+00:00,84.1,4.04,25.4,971.3,-41.0,103.2,61.024446233305866,-1.0999999999999943,,0.2999999999999545,,1.0,,0.21039113985104052,
2026-08-26 00:24:00+00:00,84.6,4.05,25.5,971.4,-41.0,103.1,61.051226009703285,-1.2000000000000028,,0.39999999999997726,,1.1000000000000014,,0.2371709162484592,
2026-08-26 00:25:00+00:00,83.5,4.04,25.4,971.4,-41.0,103.1,60.94034001744724,-1.2000000000000028,,0.39999999999997726,,1.0,,0.1262849239924151,
2026-08-26 00:26:00+00:00,84.3,4.04,25.5,971.3,-40.0,103.0,60.967077058229854,-1.2999999999999972,,0.1999999999999318,,1.1000000000000014,,0.1530219647750286,
2026-08-26 00:27:00+00:00,85.4,4.05,25.4,971.4,-40.0,103.0,60.85623105965221,-1.2999999999999972,,0.39999999999997726,,1.0,,0.04217596619738373,
2026-08-26 00:28:00+00:00,87.4,4.07,25.5,971.4,-40.0,103.0,60.967077058229854,-1.2999999999999972,,0.2999999999999545,,1.1000000000000014,,0.1530219647750286,
2026-08-26 00:29:00+00:00,83.7,4.04,25.5,971.4,-41.0,102.9,60.88292537059781,-1.3999999999999915,,0.2999999999999545,,1.0,,-0.04648956190344222,
2026-08-26 00:30:00+00:00,80.7,4.01,25.5,971.4,-41.0,102.9,60.88292537059781,-1.3999999999999915,,0.2999999999999545,,1.0,,-0.04648956190344222,
2026-08-26 00:31:00+00:00,86.4,4.06,25.5,971.4,-40.0,102.8,60.798770946673685,-1.5,,0.2999999999999545,,1.0500000000000007,,-0.07296406630435115,
2026-08-26 00:32:00+00:00,84.3,4.04,25.7,971.4,-40.0,102.8,61.0191622555614,-1.5,,0.2999999999999545,,1.3000000000000007,,0.20510716210657165,
2026-08-26 00:33:00+00:00,83.4,4.03,25.6,971.3,-41.0,102.8,60.90915579080911,-1.5,,0.1999999999999318,,1.1000000000000014,,-0.0202591416921436,
2026-08-26 00:34:00+00:00,83.1,4.03,25.7,971.4,-40.0,102.7,60.93492552678977,-1.5999999999999943,,0.2999999999999545,,1.1999999999999993,,0.005510594288516302,
2026-08-26 00:35:00+00:00,87.1,4.07,25.7,971.4,-40.0,102.7,60.93492552678977,-1.5999999999999943,,0.2999999999999545,,1.1999999999999993,,0.005510594288516302,
2026-08-26 00:36:00+00:00,85.8,4.06,25.8,971.4,-41.0,102.7,61.04451679179533,-1.5999999999999943,,0.2999999999999545,,1.3000000000000007,,0.11510185929407868,
2026-08-26 00:37:00+00:00,83.4,4.03,25.9,971.4,-41.0,102.6,61.069416814669665,-1.7000000000000028,,0.2999999999999545,,1.3999999999999986,,0.1400018821684128,
2026-08-26 00:38:00+00:00,86.9,4.07,25.7,971.4,-42.0,102.6,60.85068607324524,-1.7000000000000028,,0.2999999999999545,,1.1999999999999993,,-0.07872885925601025,
2026-08-26 00:39:00+00:00,83.1,4.03,25.8,971.4,-42.0,102.5,60.87595598881583,-1.7999999999999972,,0.2999999999999545,,1.1999999999999993,,-0.1684056299922645,
2026-08-26 00:40:00+00:00,84.7,4.05,25.7,971.4,-41.0,102.5,60.76644389479563,-1.7999999999999972,,0.2999999999999545,,1.1999999999999993,,-0.16297103770562416,
2026-08-26 00:41:00+00:00,86.6,4.07,25.9,971.4,-41.0,102.5,60.985095596489664,-1.7999999999999972,,0.2999999999999545,,1.3999999999999986,,0.05568066398841154,
2026-08-26 00:42:00+00:00,83.7,4.04,25.9,971.4,-41.0,102.4,60.90077166500632,-1.8999999999999915,,0.39999999999997726,,1.2999999999999972,,-0.1435899538017793,
2026-08-26 00:43:00+00:00,83.3,4.03,25.7,971.4,-40.0,102.4,60.6821989913087,-1.8999999999999915,,0.2999999999999545,,1.0999999999999979,,-0.3621626274993943,
2026-08-26 00:44:00+00:00,85.6,4.06,25.7,971.5,-43.0,102.4,60.6821989913087,-1.8999999999999915,,0.39999999999997726,,1.0999999999999979,,-0.3621626274993943,
2026-08-26 00:45:00+00:00,87.1,4.07,25.8,971.4,-40.0,102.3,60.70738430918219,-2.0,,0.2999999999999545,,1.1999999999999993,,-0.3369773096259081,
2026-08-26 00:46:00+00:00,86.6,4.07,25.9,971.5,-43.0,102.3,60.81644502008866,-2.0,,0.39999999999997726,,1.2999999999999972,,-0.22791659871943892,
2026-08-26 00:47:00+00:00,83.2,4.03,25.8,971.5,-41.0,102.3,60.70738430918219,-1.9500000000000028,,0.39999999999997726,,1.1999999999999993,,-0.29510190291547644,
2026-08-26 00:48:00+00:00,86.0,4.06,26.1,971.4,-41.0,102.2,60.94905267150086,-2.0,,0.2999999999999545,,1.5,,-0.011558133886381938,
2026-08-26 00:49:00+00:00,86.7,4.0649999999999995,26.1,971.45,-41.0,102.2,60.94905267150086,-2.0,,0.25,,1.4000000000000021,,-0.12605370601190913,
2026-08-26 00:50:00+00:00,87.4,4.07,26.1,971.5,-41.0,102.2,60.94905267150086,-2.0,,0.2999999999999545,,1.4000000000000021,,-0.12605370601190913,
2026-08-26 00:51:00+00:00,85.65,4.055,25.950000000000003,971.45,-41.0,102.15,60.74392721167125,-2.049999999999997,,0.25,,1.2500000000000036,,-0.33117916584151885,
2026-08-26 00:52:00+00:00,83.9,4.04,25.8,971.4,-41.0,102.1,60.538801751841646,-2.1000000000000085,,0.1999999999999318,,1.1000000000000014,,-0.5363046256711215,
2026-08-26 00:53:00+00:00,83.3,4.03,25.9,971.4,-41.0,102.1,60.64778358942653,-2.1000000000000085,,0.1999999999999318,,1.1999999999999993,,-0.42732278808623647,
